WellIndex,Por,LogPerm,AI,Brittle,TOC,VR,Production
436,15.19,1.16,3.22,54.43,0.41,1.75,2704.065349
437,9.97,0.92,3.05,50.79,0.06,1.44,1296.277576
438,17.20,1.47,3.21,-1.50,1.93,2.21,9.854246707
439,14.71,1.31,2.23,53.86,1.76,2.18,2819.957257
440,13.80,1.10,3.70,47.23,0.47,1.95,2281.608168
441,13.67,1.30,3.09,80.77,1.19,2.20,277.31906
442,12.52,0.92,3.94,54.23,0.48,2.31,1848.658832
443,17.39,1.28,2.07,56.25,1.69,1.93,3891.443389
444,17.91,1.73,1.73,60.67,1.85,2.17,3618.604843
445,12.07,0.58,3.25,29.95,1.12,1.95,747.3455333
446,14.54,1.48,3.56,37.59,0.61,1.89,1855.574687
447,11.47,1.18,2.50,62.05,0.90,1.71,1235.473469
448,16.42,1.51,2.33,45.27,1.37,1.71,3463.458998
449,14.63,1.14,3.75,52.11,1.01,2.47,2694.78052
450,17.24,1.85,2.47,45.24,0.86,1.45,3789.443633
451,17.65,1.78,3.80,53.36,0.80,2.39,4095.363707
452,18.35,1.84,3.27,44.77,1.29,2.46,4528.883757
453,11.43,0.96,2.80,47.43,0.22,1.43,1596.210651
454,7.81,0.83,3.83,71.55,0.07,2.26,329.3373766
455,9.97,1.09,3.71,53.32,0.71,2.12,1332.917918
456,13.23,0.89,2.89,81.81,0.71,1.85,214.2968986
457,16.80,1.22,2.51,52.01,1.04,1.98,3692.108968
458,15.55,1.62,3.26,52.56,1.86,2.62,3291.478442
459,16.56,1.64,3.67,22.73,1.04,1.91,666.4281587
460,16.02,1.36,2.44,42.28,1.08,1.75,2930.268924
461,17.16,1.58,3.13,71.88,1.56,2.67,1379.264129
462,10.69,1.20,3.21,42.76,0.32,1.72,1311.675303
463,14.60,1.31,3.16,33.77,0.72,2.00,1460.053613
464,17.78,1.90,2.75,37.07,1.38,2.00,3056.975275
465,16.42,1.97,3.21,40.28,1.09,2.16,2915.120768
466,16.50,1.90,2.91,49.27,0.59,1.61,3519.609291
467,18.69,1.80,2.85,32.73,1.77,2.04,2646.535073
468,16.77,1.25,3.20,53.30,1.08,2.27,3632.530542
469,13.47,1.18,2.99,84.73,1.19,2.17,148.5223414
470,15.79,1.69,3.02,41.52,1.01,2.09,2769.151676
471,14.16,1.67,3.41,55.03,0.61,2.13,2369.538579
472,11.32,0.84,2.67,52.78,1.18,1.92,1671.342328
473,21.91,2.58,2.76,51.16,0.82,2.03,7887.843585
474,17.53,1.60,2.38,68.05,1.21,2.12,2009.943412
475,19.93,1.65,3.31,29.77,1.40,2.54,2377.710696
476,11.51,0.74,2.56,66.73,0.95,1.87,905.2237762
477,17.09,1.81,2.30,23.67,0.84,1.27,798.2021671
478,17.17,1.46,2.18,18.67,1.48,1.92,432.7746903
479,15.45,1.66,3.40,63.84,1.34,2.42,2052.027604
480,15.57,1.70,2.70,40.50,1.16,1.84,2599.553932
481,17.08,1.42,2.51,43.09,1.67,2.26,3661.146072
482,19.04,1.93,2.72,36.45,1.45,2.24,3542.725675
483,9.54,0.90,3.25,58.89,0.80,1.96,1074.157708
484,15.43,1.71,3.16,37.46,1.19,2.17,2192.585452
485,12.20,1.38,3.23,40.15,0.13,1.47,1456.153249
486,19.22,2.28,2.35,59.32,2.21,2.44,4841.552519
487,16.52,1.45,2.61,87.60,0.90,2.10,141.0821216
488,14.36,1.66,3.60,40.41,0.50,1.94,2077.182165
489,14.15,1.59,3.40,27.24,0.61,1.80,765.8549669
490,19.49,1.76,2.98,45.40,0.99,1.87,5274.464144
491,18.37,1.61,2.25,34.78,1.34,1.83,2835.461394
492,9.57,1.02,3.44,59.36,0.53,2.14,1041.339381
493,15.72,1.87,3.00,17.33,1.06,1.82,283.9539159
494,13.00,1.42,3.03,64.91,0.62,2.01,1271.336313
495,17.75,1.74,2.35,65.85,1.26,1.86,2479.831068
496,14.39,1.15,3.20,26.95,1.35,2.21,800.3606115
497,21.15,1.82,2.27,34.28,1.80,2.13,4236.373112
498,14.44,1.39,3.25,36.68,0.92,1.89,1767.765012
499,16.50,1.71,3.12,44.53,0.92,2.02,3353.632483
500,18.62,1.69,3.30,48.44,1.44,2.38,5008.841347
501,12.91,0.86,2.84,52.21,0.95,2.00,2079.698881
502,12.15,1.27,3.40,63.72,0.90,2.09,1236.646904
503,13.25,1.32,2.84,58.49,0.61,1.89,1851.618362
504,11.37,1.01,3.74,42.46,0.74,2.05,1467.172126
505,15.39,1.15,2.87,46.99,1.51,2.28,3080.665139
506,18.16,2.17,2.83,89.85,2.01,2.70,132.1736257
507,17.60,1.71,3.08,35.66,1.80,2.38,2794.926492
508,21.77,2.19,2.40,41.63,2.00,2.37,7112.902837
509,13.87,0.91,3.25,42.45,1.30,2.42,2175.143279
510,18.76,2.26,2.93,49.99,1.27,2.33,5162.742563
511,18.02,1.39,1.76,43.80,1.23,1.44,4141.686565
512,18.18,1.86,1.59,33.90,1.63,1.27,2666.798904
513,10.25,0.89,4.20,88.16,0.73,2.90,50.79013757
514,19.12,2.03,0.96,58.54,1.58,1.75,4675.107684
515,11.03,1.00,4.27,59.30,0.10,1.94,1246.518313
516,18.83,1.64,2.34,42.84,2.12,2.07,4845.699884
517,15.07,1.81,3.51,60.86,1.04,2.21,2260.664841
518,14.61,1.19,2.92,55.23,1.05,2.05,2561.510566
519,21.99,2.10,1.87,46.89,2.23,2.15,8549.25572
520,16.72,1.14,2.05,40.65,1.39,1.66,3085.916928
521,17.48,1.64,2.49,55.58,1.29,1.80,3941.711898
522,14.24,1.06,3.50,45.14,1.03,2.31,2436.755862
523,10.62,0.90,4.03,41.25,-0.13,1.87,1180.994604
524,16.00,1.44,3.14,54.15,0.62,1.90,3123.652135
525,13.00,1.06,3.33,67.52,0.84,2.18,1054.174367
526,19.18,1.75,2.44,55.40,1.22,2.07,5037.136541
527,12.82,0.94,3.57,64.33,1.34,2.68,1337.448657
528,17.39,1.84,3.07,51.15,1.04,1.87,4112.405619
529,15.73,1.49,3.28,46.89,0.92,2.03,3128.180606
530,16.95,1.90,2.52,17.40,1.23,1.58,346.6257813
531,18.30,1.59,2.20,43.96,1.37,1.75,4395.55534
532,12.94,0.91,2.21,19.34,1.35,1.47,253.7420032
533,16.72,1.57,3.07,38.34,1.44,2.19,2806.819355
534,17.96,1.78,3.53,67.18,0.85,2.27,2246.487315
535,14.03,1.44,3.47,45.51,0.46,1.99,2314.039136
536,15.05,1.22,2.06,46.99,1.15,1.45,2865.870114
537,11.39,1.06,2.56,36.09,0.95,1.74,1092.875286
538,13.30,1.50,3.79,64.39,1.26,2.79,1442.756493
539,18.81,1.99,3.48,38.79,1.67,2.30,3988.848523
540,12.59,0.57,3.22,66.84,0.90,2.08,1037.964085
541,9.78,0.84,3.52,51.95,1.01,2.34,1338.347252
542,14.82,1.69,3.11,43.10,1.13,2.09,2570.155907
543,15.60,1.36,1.87,45.59,1.81,1.85,3184.349011
544,16.50,2.16,3.33,43.94,0.90,2.01,3339.484831
545,14.73,1.15,3.62,61.13,1.30,2.52,2125.700732
546,15.75,1.33,3.25,66.65,1.60,2.59,1778.995715
547,16.89,1.74,2.46,55.46,1.52,1.96,3705.305968
548,13.87,1.39,3.43,47.39,1.37,2.40,2482.941131
549,15.22,1.54,3.58,45.55,1.45,2.56,2951.963887
550,18.56,1.75,2.72,57.59,1.54,2.14,4419.337027
551,16.60,1.40,2.09,22.24,1.05,1.27,625.8124584
552,18.56,1.88,3.06,21.90,1.32,2.12,819.5028793
553,13.93,1.02,2.92,45.72,0.64,1.78,2290.649233
554,12.20,1.27,3.72,29.12,0.77,1.98,700.0350386
555,8.23,0.46,3.38,72.33,0.23,2.00,323.6336509
556,17.83,1.77,2.55,41.57,0.92,1.58,3698.848265
557,17.42,1.88,2.15,45.70,0.69,1.33,3876.36811
558,17.97,1.61,2.31,45.26,1.73,1.91,4447.098564
559,16.35,1.59,2.90,45.79,1.86,2.13,3597.157043
560,16.03,1.65,2.57,45.43,0.94,1.61,3203.44198
561,18.41,1.64,3.00,69.27,0.61,2.08,1968.485996
562,14.60,1.58,2.07,47.50,0.92,1.38,2688.855093
563,20.86,1.94,2.70,50.54,1.98,2.35,7261.891374
564,18.56,1.45,2.63,56.40,1.71,2.32,4611.965461
565,11.49,0.86,3.17,68.32,0.39,1.96,766.1385455
566,14.46,1.69,3.72,54.51,1.09,2.38,2590.205569
567,18.36,2.02,2.44,83.69,0.84,1.98,351.0545567
568,13.73,1.68,3.24,42.16,1.15,2.11,2133.386277
569,14.42,1.13,2.61,72.39,1.04,2.02,840.7470461
570,13.51,0.77,2.79,82.46,1.04,2.31,206.6912072
571,18.07,1.77,2.27,58.85,1.56,2.04,3938.857172
572,14.29,1.45,3.00,62.35,0.78,1.87,1815.136335
573,10.84,1.24,3.67,45.37,0.17,1.97,1425.068417
574,13.37,1.01,3.19,58.63,0.47,1.78,1837.580744
575,13.29,1.26,2.36,70.88,1.13,1.87,838.8995631
576,12.90,1.42,2.52,56.38,0.59,1.60,1895.081285
577,15.02,1.85,3.30,43.92,1.05,1.86,2705.300514
578,14.99,1.36,2.03,67.80,1.92,2.14,1491.311387
579,14.06,1.13,1.97,61.96,1.87,1.97,1921.534509
580,9.90,0.99,3.19,61.65,0.68,1.80,988.1928083
581,11.29,1.22,3.49,41.69,0.56,1.84,1399.297759
582,16.25,1.97,2.89,39.06,1.15,1.94,2699.809785
583,18.56,1.81,1.88,44.93,1.21,1.61,4654.684703
584,15.63,1.31,3.09,56.59,0.98,2.17,2849.575547
585,12.97,1.23,3.28,54.14,0.74,2.05,2031.157399
586,16.21,1.43,1.90,39.67,0.99,1.30,2691.559109
587,10.26,0.78,3.53,57.02,0.27,1.88,1222.748909
588,14.28,1.59,2.58,47.86,1.31,1.91,2650.106862
589,10.97,0.97,3.55,43.24,0.63,1.85,1407.871685
590,12.59,1.21,2.62,46.11,0.67,1.59,1920.144325
591,10.48,0.75,3.22,72.90,0.33,2.10,427.7566142
592,9.57,1.32,3.34,89.45,-0.10,1.59,34.98786927
593,12.07,1.22,3.22,55.39,0.36,1.50,1690.176866
594,17.54,1.67,3.61,44.34,0.94,2.23,3871.397747
595,17.30,1.53,2.69,38.81,1.36,1.85,3105.082226
596,14.20,1.08,3.36,44.54,0.90,1.76,2368.956573
597,11.00,1.20,2.87,39.57,0.54,1.50,1223.284449
598,14.35,0.87,2.51,47.26,0.71,1.64,2496.394226
599,17.47,1.60,1.99,57.75,1.12,1.74,3634.902281
600,16.48,1.84,2.47,56.75,1.12,1.85,3287.275741
601,16.10,1.10,2.39,22.59,0.69,1.40,588.1879327
602,17.60,1.81,1.72,28.58,1.31,1.40,1519.871829
603,15.68,1.71,2.86,35.98,1.09,1.79,2063.446847
604,16.84,1.63,2.85,46.10,1.12,1.83,3682.683156
605,17.78,1.46,2.87,57.39,1.45,2.17,3923.901275
606,14.06,1.23,3.18,45.74,0.94,2.02,2401.595187
607,12.26,1.45,2.48,39.67,0.98,1.60,1531.698769
608,16.57,1.12,3.20,33.51,1.21,1.81,1955.302845
609,12.16,1.02,3.77,66.90,0.27,1.92,941.7766621
610,10.88,1.07,3.93,41.07,0.07,1.86,1238.479252
611,20.30,2.09,3.27,55.69,1.34,2.38,5976.74861
612,15.50,1.44,2.61,47.46,1.30,2.07,3124.19827
613,11.38,1.49,4.13,80.25,0.40,2.24,204.4360296
614,16.89,1.74,2.63,56.17,2.07,2.55,3781.929486
615,17.62,1.40,3.06,32.59,1.38,1.98,2158.684907
616,17.83,1.39,3.01,55.10,1.15,2.13,4123.613626
617,17.66,1.85,2.46,59.14,0.98,1.84,3529.91632
618,21.09,2.54,2.22,26.51,1.53,1.52,2095.303996
619,18.94,1.74,3.30,55.69,1.49,2.57,4926.049233
620,21.28,2.54,2.32,52.59,1.85,2.14,7658.969424
621,17.14,1.41,2.90,71.60,0.91,2.16,1342.59323
622,13.35,1.16,2.94,72.10,0.93,2.39,738.8770402
623,19.32,1.84,2.55,56.11,1.38,2.01,5115.691999
624,10.04,1.13,2.70,39.60,0.76,1.60,1083.272676
625,15.47,1.65,3.22,47.90,1.04,2.13,3089.846341
626,13.10,1.05,3.82,58.09,0.99,2.59,1875.160441
627,20.51,2.02,2.96,46.94,0.99,1.88,6319.437653
628,16.05,1.53,4.16,45.34,0.69,2.42,3137.098361
629,17.06,1.63,2.50,52.98,1.34,2.00,3918.258317
630,14.00,1.70,2.54,71.48,1.00,1.98,879.1455867
631,14.78,1.42,2.75,28.33,1.22,1.80,972.9470623
632,14.07,1.55,3.44,34.50,0.43,1.70,1409.196533
633,12.57,0.95,3.08,49.94,1.41,2.28,2073.270839
634,17.69,1.79,2.38,71.46,1.08,1.91,1505.819671
635,8.75,0.73,3.96,66.77,0.03,2.12,569.2381477
636,18.39,1.79,3.08,30.24,1.41,1.72,2000.283352
637,11.44,1.06,3.30,66.54,0.37,1.88,879.5860991
638,18.14,1.86,2.80,65.18,0.91,2.15,2689.942752
639,18.64,1.89,2.04,56.08,1.88,2.09,4827.214872
640,12.35,1.18,3.00,58.71,1.00,1.80,1653.324326
641,15.06,1.45,3.42,78.96,0.77,2.36,421.8353668
642,14.36,1.50,3.35,46.35,0.91,1.98,2545.07261
643,17.64,1.52,2.76,47.39,0.88,1.67,4128.84312
644,21.35,1.70,1.80,9.46,2.03,1.91,181.6980445
645,15.17,1.58,3.13,56.96,0.88,1.84,2640.717902
646,12.62,0.94,2.82,50.28,1.01,2.02,2032.711824
647,18.86,1.50,2.18,18.02,1.56,1.81,504.957481
648,17.63,1.64,2.64,65.55,1.72,2.34,2565.437471
649,13.45,1.25,2.65,28.20,1.41,2.05,801.5371357
650,14.02,1.16,3.43,77.02,0.63,2.32,457.8305006
651,13.88,1.17,3.36,42.04,0.83,2.14,2088.825692
652,8.63,0.75,3.71,54.15,0.41,2.06,1052.605777
653,11.67,1.28,3.15,56.77,0.86,2.14,1595.569014
654,15.05,1.41,2.84,46.75,1.08,1.81,2855.548494
655,11.20,0.85,3.95,52.40,-0.13,1.64,1503.487194
656,13.55,1.11,4.17,45.58,0.19,2.14,2101.721419
657,9.90,1.09,3.74,89.51,0.19,2.31,36.81330718
658,17.08,2.09,3.62,44.51,0.77,2.24,3642.765883
659,19.09,1.92,2.45,49.60,1.67,2.07,5515.466392
660,21.74,2.43,2.50,19.05,2.06,2.18,941.1416443
661,14.88,1.33,3.05,81.48,0.41,1.79,282.0995965
662,19.02,2.07,3.08,30.56,1.33,2.12,2257.286932
663,7.98,0.42,4.11,50.13,0.47,2.19,991.4798652
664,18.78,1.79,2.89,51.55,1.60,2.45,5199.93081
665,17.35,1.34,1.48,51.45,1.10,1.42,4043.841349
666,16.76,1.55,2.16,23.75,1.42,1.48,795.3386937
667,18.65,2.02,2.92,65.65,1.11,2.03,2849.638856
668,16.63,1.41,2.83,39.39,1.55,2.32,2934.577446
669,9.98,0.93,4.11,66.51,0.17,2.50,703.2805988
670,15.44,1.73,2.61,65.58,1.16,2.02,1804.383919
671,8.81,0.57,3.40,52.81,0.71,2.21,1121.053597
672,16.80,1.77,3.24,71.10,1.17,2.31,1381.933964
673,16.78,1.50,2.19,59.16,0.82,1.37,3045.528652
674,15.64,1.36,3.53,30.61,0.86,2.17,1325.003212
675,17.51,1.61,3.08,37.76,1.37,2.11,3030.655711
676,18.61,1.93,2.74,29.42,1.67,2.03,1955.331461
677,15.78,1.09,2.34,41.26,0.89,1.53,2667.57756
678,15.69,1.39,3.04,54.42,0.43,1.66,2926.914549
679,14.84,1.46,3.18,20.53,1.55,2.24,404.4793749
680,13.76,1.27,3.34,77.22,0.14,2.11,417.038603
681,11.31,0.99,3.52,39.01,0.26,1.74,1214.260306
682,11.30,1.01,3.31,62.95,0.32,1.87,1093.176293
683,16.50,1.65,3.62,46.19,0.63,2.04,3398.913258
684,15.80,1.62,2.40,58.30,1.15,2.01,2813.268159
685,10.27,0.83,3.83,82.07,0.75,2.62,135.439622
686,18.44,2.07,3.03,55.30,1.10,2.04,4548.340898
687,10.63,0.90,2.66,41.15,1.10,2.00,1283.986441
688,16.54,1.53,2.59,33.36,0.55,1.35,1856.934036
689,16.46,1.39,3.33,47.48,1.46,2.40,3623.788155
690,17.86,1.80,2.78,45.33,1.30,1.91,4272.150645
691,16.93,1.79,3.46,35.32,1.60,2.47,2454.972196
692,11.21,0.75,4.49,54.10,0.10,2.25,1489.925185
693,15.33,1.27,3.35,37.27,1.12,2.04,2102.009351
694,16.40,1.48,2.91,27.17,1.07,1.87,1080.264714
695,9.24,1.28,4.52,20.91,0.86,2.58,180.9656452
696,22.50,2.56,2.62,33.25,1.50,1.91,4756.782918
697,20.42,2.02,1.52,38.21,1.86,1.67,4934.098069
698,12.83,1.28,3.16,64.39,0.40,1.95,1259.609626
699,10.54,0.97,3.23,54.86,0.33,1.69,1363.540281
700,15.33,1.12,2.56,38.38,1.10,1.73,2222.537458
701,15.51,1.11,3.09,66.09,1.50,2.50,1768.565608
702,13.48,1.03,2.48,26.23,1.10,1.47,637.1935933
703,13.41,1.13,4.12,46.12,0.62,2.50,2146.502216
704,14.87,1.39,3.70,67.69,0.91,2.62,1376.714964
705,19.73,1.85,2.50,41.01,1.62,1.93,5001.827865
706,9.85,0.67,2.32,46.08,1.06,1.87,1314.320565
707,16.99,1.96,2.86,21.86,0.88,1.63,633.2486035
708,14.06,1.06,2.53,3.03,0.41,1.03,15.47356176
709,15.69,1.63,3.21,45.22,1.46,2.50,3147.193012
710,17.12,1.49,2.36,45.12,1.55,2.13,3864.080623
711,16.79,1.57,2.82,20.46,1.18,1.83,517.0209308
712,24.65,2.34,1.33,46.77,2.23,1.78,12568.64413
713,20.15,1.94,3.05,44.65,1.31,2.39,5861.461184
714,16.16,1.77,3.23,41.04,1.13,2.21,2895.97414
715,10.96,1.19,3.03,63.11,0.35,1.81,1038.323291
716,14.21,1.33,2.84,85.70,0.86,2.27,138.4467572
717,16.48,1.52,2.87,60.62,1.76,2.26,2922.820756
718,13.38,0.96,2.52,35.86,1.24,1.72,1457.243162
719,19.64,1.90,2.36,38.95,2.56,2.57,4806.867083
720,21.91,1.98,1.83,56.00,1.71,1.76,7632.834153
721,14.78,1.28,2.77,21.90,1.04,1.71,460.1922336
722,18.31,1.74,1.51,25.29,1.87,1.52,1233.958231
723,12.98,0.99,2.27,41.88,0.48,1.39,1773.40786
724,12.38,0.74,2.72,42.53,0.37,1.42,1640.81971
725,10.40,1.13,4.13,61.84,-0.13,1.90,995.3459424
726,12.06,1.59,4.47,57.01,0.14,2.25,1604.738573
727,5.79,0.76,4.06,56.46,-0.20,1.90,635.2274416
728,11.42,0.66,3.62,43.47,0.58,2.22,1492.041377
729,14.44,1.34,2.71,47.05,0.45,1.57,2508.197103
730,16.93,1.38,3.09,66.21,1.40,2.37,2146.206216
731,16.41,1.54,3.45,66.10,0.92,2.32,1949.353997
732,10.66,0.58,3.59,62.84,0.50,2.03,1004.284169
733,12.78,1.40,3.20,66.97,0.39,1.80,1043.151258
734,17.89,1.79,1.92,40.03,1.93,1.88,3757.18768
735,13.08,1.31,3.39,69.33,0.98,2.63,930.6035163
736,16.86,1.48,2.58,37.37,1.53,2.11,2723.947629
737,14.13,1.55,3.21,42.15,0.87,1.94,2206.5948
738,14.04,1.35,3.50,66.86,0.61,2.13,1276.287562
739,11.87,1.30,2.97,57.43,0.33,1.79,1547.76815
740,14.58,1.26,3.10,36.59,0.54,1.95,1739.723208
741,12.24,0.75,2.24,86.80,0.96,1.74,86.33067385
742,15.97,1.66,2.89,43.48,0.91,1.82,3013.289035
743,16.89,1.44,2.56,54.08,1.51,2.10,3783.041918
744,9.92,0.87,3.77,63.40,0.55,2.14,884.3285448
745,17.56,1.84,2.48,44.52,1.54,2.14,4094.78335
746,15.44,1.48,2.82,67.01,0.61,1.79,1546.955653
747,16.36,1.50,2.41,34.11,1.41,1.85,2035.24501
748,12.04,1.25,3.29,41.66,0.60,1.75,1562.800808
749,15.32,1.36,2.95,58.66,1.18,2.17,2577.297297
750,11.55,1.18,3.18,51.68,0.24,1.85,1650.452703
751,12.89,0.95,2.83,70.55,0.78,2.03,791.0599209
752,12.96,0.97,3.85,77.47,0.90,2.65,376.9012593
753,12.01,0.91,2.45,69.54,0.79,1.78,765.4898682
754,23.22,1.94,2.17,29.74,2.01,2.17,3989.813126
755,16.82,1.18,2.06,28.32,1.76,1.93,1342.716554
756,17.70,1.90,3.24,44.06,1.56,2.32,4134.852245
757,10.13,1.05,4.00,59.83,0.46,2.27,1099.803466
758,13.43,0.97,3.11,58.95,1.37,2.26,1948.989713
759,15.22,1.36,3.30,49.75,1.21,2.32,3022.746528
760,16.20,1.87,3.34,55.97,1.20,2.25,3250.859587
761,14.64,1.12,2.81,66.78,1.32,2.19,1461.996368
762,12.81,1.43,3.34,53.75,0.33,1.74,1950.978327
763,14.92,1.49,3.04,55.51,0.81,1.92,2634.35545
764,16.69,1.55,3.57,38.17,0.65,2.15,2614.977036
765,14.78,1.63,3.61,60.05,0.87,2.21,2216.070736
766,15.81,1.21,3.18,46.15,1.48,2.38,3224.536895
767,12.11,0.79,2.55,62.09,0.56,1.69,1302.772634
768,12.65,1.55,2.77,27.03,1.10,1.74,625.4879
769,13.61,0.90,2.69,55.54,1.53,2.17,2260.512088
770,12.99,1.09,4.61,54.67,0.26,2.60,1940.539108
771,18.77,1.97,3.24,57.19,1.85,2.59,4747.826665
772,12.22,1.02,3.67,56.59,0.43,1.97,1671.119687
773,15.32,1.51,3.95,50.51,0.26,2.11,2873.803986
774,12.31,1.29,2.95,81.97,0.48,2.21,182.5827247
775,12.68,1.76,3.11,78.63,0.48,1.91,310.1048096
776,14.00,1.44,3.18,28.62,0.83,1.76,871.2105678
777,21.67,1.90,2.55,61.78,2.01,2.34,5948.440128
778,12.08,1.11,3.51,49.13,0.62,2.01,1834.182112
779,13.12,1.32,3.64,52.05,0.74,1.97,2141.280021
780,13.67,1.27,3.58,57.42,0.23,2.06,1985.924644
781,14.56,1.40,2.66,40.56,1.30,1.77,2259.287013
782,16.38,1.86,3.01,49.55,1.06,1.99,3578.063124
783,14.36,1.42,2.51,71.95,1.36,2.11,899.2347624
784,15.49,1.21,3.19,38.37,0.97,2.06,2255.936649
785,16.63,1.28,2.90,55.67,1.53,2.28,3508.173332
786,23.31,2.27,2.72,17.93,2.04,2.19,996.6134001
787,13.12,1.00,2.97,59.58,1.03,2.19,1774.155302
788,12.87,1.10,3.30,51.38,0.64,1.94,2050.862756
789,12.87,1.09,3.08,66.30,0.70,1.91,1126.61335
790,15.91,1.32,2.22,50.17,1.85,2.04,3484.565113
791,12.11,1.16,3.69,47.38,0.83,2.30,1846.068147
792,14.28,1.28,3.71,61.42,0.89,2.36,1912.928959
793,11.00,0.78,3.00,55.27,1.34,2.15,1540.18872
794,16.28,1.38,2.52,61.78,0.77,1.57,2481.180222
795,12.53,0.92,2.94,38.53,0.54,1.50,1434.423858
796,13.94,1.07,3.05,31.66,1.33,1.99,1167.493538
797,10.14,1.06,3.63,57.88,0.25,2.00,1174.83094
798,12.02,1.06,3.09,43.69,0.28,1.43,1621.857161
799,7.71,0.67,2.89,51.53,1.55,2.32,1032.497867
800,12.08,1.07,2.80,81.40,1.16,2.31,200.0631795
801,12.38,1.26,3.22,46.17,0.89,1.88,1898.785234
802,14.02,0.95,4.01,72.80,0.89,2.72,749.5051435
803,17.67,1.91,2.63,39.81,1.08,1.88,3404.719728
804,17.52,1.52,3.18,10.94,1.51,1.90,131.786515
805,14.53,1.57,2.69,53.60,0.94,1.67,2623.894296
806,13.49,1.28,2.93,63.71,0.80,1.85,1488.15838
807,11.58,1.11,3.25,53.00,0.69,1.93,1683.695074
808,12.52,1.00,2.43,65.77,0.95,1.98,1129.82052
809,13.25,1.37,3.71,66.20,1.14,2.65,1246.280433
810,15.04,1.48,2.22,61.11,1.08,1.77,2209.802557
811,16.19,1.84,2.29,49.10,1.53,1.86,3592.43766
812,16.82,1.69,2.80,66.65,1.17,1.98,2028.709213
813,17.39,1.60,2.55,56.43,1.87,2.19,3957.762467
814,13.83,1.66,2.51,66.22,0.18,1.64,1273.735181
815,11.34,1.00,3.43,58.03,0.57,2.15,1417.906718
816,19.55,2.13,3.08,35.49,1.34,1.95,3578.753844
817,15.58,1.30,2.53,29.43,1.35,1.88,1221.039098
818,14.73,1.61,3.03,67.42,0.90,1.98,1386.491327
819,12.47,0.93,3.54,48.82,0.90,2.54,1964.548483
820,18.08,1.74,2.38,53.56,1.26,2.09,4481.149974
821,16.32,1.40,2.41,46.78,1.21,1.72,3457.771358
822,12.62,0.87,2.38,15.68,1.00,1.48,137.1866863
823,10.03,0.63,3.29,37.74,0.38,1.70,942.3652433
824,18.66,1.68,1.39,53.35,1.77,1.71,5058.155603
825,7.27,0.70,3.41,54.56,-0.04,1.68,831.6158193
826,15.78,1.61,2.55,52.64,1.37,2.04,3283.096774
827,15.73,1.86,3.74,31.90,1.10,2.15,1547.412398
828,12.38,0.78,4.09,31.40,0.72,2.07,866.8073955
829,12.89,0.88,2.90,51.24,0.81,1.97,2068.876855
830,18.48,1.78,2.85,46.89,1.45,2.45,4850.083875
831,14.74,1.13,2.45,36.86,0.92,1.59,1849.893328
832,12.55,1.17,3.43,56.93,0.79,2.27,1785.970797
833,13.58,0.87,2.95,52.16,1.13,2.20,2319.974657
834,11.76,1.08,4.18,61.21,0.43,2.45,1297.605529
835,11.98,1.30,3.17,27.12,0.54,1.69,547.3130211
836,13.56,1.14,3.59,42.96,0.48,1.93,2009.450069
837,16.55,1.74,2.28,63.39,1.33,1.96,2472.473868
838,15.22,1.30,3.52,42.24,1.14,2.26,2614.571992
839,14.54,1.30,2.04,66.27,0.87,1.64,1457.830305
840,14.37,1.78,2.98,47.62,0.97,1.87,2630.938995
841,15.40,1.36,2.86,46.29,1.01,1.99,2960.352018
842,10.14,1.33,4.26,61.89,-0.19,1.97,958.140151
843,11.09,0.94,3.16,29.62,0.83,1.96,623.7384181
844,18.37,1.78,2.56,44.22,2.07,2.34,4728.563021
845,14.71,1.47,2.39,26.33,0.66,1.15,752.9381575
846,9.29,0.51,2.82,63.86,0.30,1.60,763.3508789
847,11.85,1.24,3.26,24.76,0.08,1.38,400.3003704
848,18.59,1.63,2.91,49.20,1.00,1.90,4848.47219
849,18.18,1.48,3.27,45.48,1.24,2.25,4427.294837
850,18.72,1.75,2.57,44.74,1.59,1.96,4859.778766
851,20.96,2.22,2.45,33.84,1.53,1.84,3962.921984
852,15.31,1.21,2.76,55.20,0.80,1.97,2785.475979
853,11.98,1.01,4.63,60.31,0.76,2.87,1429.695935
854,18.16,1.96,2.12,41.55,1.97,1.97,4196.893018
855,13.61,1.26,2.75,55.04,0.76,1.74,2187.977203
856,13.67,1.14,2.89,28.69,0.62,1.73,817.0853649
857,15.21,1.41,3.11,32.37,0.78,1.81,1440.896413
858,16.10,1.18,2.16,26.77,1.09,1.29,984.8282289
859,13.00,1.54,3.10,64.54,0.20,1.71,1270.79939
860,18.32,1.74,3.10,57.18,1.30,2.48,4258.855882
861,14.96,0.77,2.25,34.65,1.07,1.67,1653.691037
862,18.21,1.74,3.34,51.06,1.12,2.28,4641.893149
863,15.07,1.69,3.04,39.39,1.07,2.17,2287.470387
864,17.75,1.54,2.72,59.32,1.67,2.35,3694.376324
865,15.77,1.95,4.10,44.54,0.04,1.97,2856.58501
866,14.19,1.19,2.69,28.70,1.22,1.83,921.3967692
867,13.80,1.19,3.15,46.08,1.28,2.07,2383.252298
868,14.84,1.38,3.43,48.80,1.04,2.11,2820.948029
869,12.54,1.25,3.59,58.03,0.47,2.03,1681.595435
870,10.13,0.87,3.49,63.79,0.16,1.93,865.274178
871,14.17,1.37,2.92,59.30,0.91,1.91,2089.396476
