Sample,Por,LogPerm,AI,Brittle,TOC,VR,Production,Prod2Scaled
368,14.90,1.55,2.86,70.09,1.22,1.97,1154.550316,2427.481874
369,13.55,1.08,2.84,63.98,0.26,1.67,1412.738363,2369.889587
370,9.70,0.32,3.33,20.79,0.90,1.96,185.5056428,766.6730334
371,12.64,1.15,3.42,17.37,1.06,2.02,180.3642312,1301.360734
372,19.32,2.26,1.75,32.14,2.25,1.82,2892.803365,4508.937507
373,12.62,1.26,3.44,69.53,1.11,2.42,863.8668593,1798.551378
374,17.51,1.69,2.19,65.64,1.75,2.15,2515.090119,3901.35811
375,11.66,1.13,3.38,35.07,0.44,1.82,1026.954753,1741.591212
376,16.11,1.22,3.18,38.25,1.44,2.26,2532.570553,3657.891525
377,20.06,1.94,3.44,48.17,1.20,2.50,6086.016575,6982.542132
378,16.53,1.45,2.57,51.47,0.96,1.89,3570.013009,4494.049296
379,13.36,0.83,2.28,41.64,0.61,1.39,1864.614968,2666.767589
380,15.13,1.16,3.52,33.62,1.00,2.17,1581.662627,2782.489863
381,17.78,1.77,2.02,40.36,2.08,1.71,3794.042248,4887.451729
382,20.73,1.96,3.04,71.68,1.15,2.18,2297.209744,4330.520917
383,18.93,1.88,3.01,37.64,1.32,2.00,3702.403565,5030.056837
384,13.45,1.31,1.74,79.53,1.22,1.82,319.3486444,1551.34865
385,15.98,2.05,3.70,47.41,0.63,2.02,3246.648912,4156.77067
386,19.84,2.03,3.38,30.67,1.49,2.29,2587.554653,4380.17269
387,14.61,1.20,2.77,34.97,0.62,1.37,1579.321127,2686.568314
388,18.61,1.79,2.02,55.20,1.75,1.96,4853.699105,5815.274401
389,13.66,1.15,3.18,47.23,0.66,1.70,2271.081018,3017.999421
390,12.94,1.35,3.06,56.18,0.80,1.92,1940.197811,2643.575458
391,15.43,2.03,3.18,59.20,0.52,1.72,2489.530092,3501.491098
392,14.73,1.18,3.13,38.56,1.44,2.13,2113.557542,3098.847621
393,19.35,1.62,2.11,18.59,1.88,1.74,604.5408267,2839.943288
394,18.04,1.99,2.65,36.92,1.80,2.43,3244.821811,4531.918992
395,16.11,1.44,2.20,42.23,0.72,1.31,2895.323929,3924.233947
396,10.92,1.43,3.39,74.40,0.50,1.81,399.9687918,1148.084484
397,18.32,1.85,2.60,17.80,1.63,1.84,460.0337542,2546.186863
398,18.25,1.62,3.02,23.09,1.39,2.02,908.0323404,2859.930057
399,14.00,1.69,3.64,60.33,0.92,2.48,1967.566757,2858.828203
400,16.54,1.56,3.73,57.99,1.21,2.55,3171.430189,4204.093515
401,16.97,1.43,2.44,53.38,1.39,2.17,3839.251307,4772.826319
402,15.54,1.76,2.27,51.90,1.47,1.92,3233.854847,4067.170093
403,15.72,1.24,3.13,56.95,0.93,2.25,2841.218122,3813.65688
404,12.04,0.87,3.05,63.83,0.81,2.00,1187.663511,1928.524959
405,12.49,0.98,3.30,42.89,0.56,1.78,1721.07242,2401.692499
406,12.03,0.82,2.96,75.84,1.04,2.31,405.2857224,1354.607806
407,18.05,1.94,2.57,53.36,1.17,2.04,4475.020243,5435.220394
408,13.57,1.08,3.31,58.10,0.29,1.79,1907.811551,2735.179341
409,20.78,2.31,2.52,52.74,1.05,1.98,6679.678087,7549.082806
410,15.49,1.66,3.09,47.30,0.63,1.87,2987.360229,3876.791127
411,15.58,1.61,3.11,69.18,0.96,2.15,1357.955626,2701.267378
412,8.77,0.87,2.92,53.78,0.09,1.55,1059.175133,1235.831825
413,12.13,1.01,3.27,63.22,0.20,1.93,1199.797639,1953.448826
414,14.40,1.68,2.99,33.64,0.82,1.82,1431.744472,2540.176182
415,13.03,1.09,2.15,76.97,0.56,1.63,397.3768297,1531.957204
416,20.51,2.44,2.40,51.68,1.01,1.58,6506.601998,7373.242691
417,17.01,1.25,3.59,31.26,1.05,2.08,1724.181056,3231.917297
418,15.43,1.23,1.80,30.23,1.87,1.94,1332.426639,2655.944815
419,16.85,1.20,2.73,40.08,1.41,2.02,3076.942099,4192.275996
420,16.98,1.21,2.56,39.26,1.47,1.97,3026.137273,4177.980417
421,13.46,1.69,2.84,47.74,0.66,1.67,2254.69144,2969.982606
422,13.72,1.10,3.19,41.60,0.40,1.60,1945.517294,2790.990593
423,13.46,1.33,3.51,34.31,0.80,1.81,1298.713721,2269.610211
424,16.40,1.39,2.52,61.87,1.32,1.82,2616.210571,3773.334162
425,17.96,1.56,3.17,58.01,1.51,2.55,3966.636065,5046.465083
426,16.51,1.31,2.61,30.50,1.27,1.82,1528.360445,2996.282163
427,7.45,0.18,2.52,49.15,0.80,1.85,933.4669777,902.2764085
428,13.36,1.27,3.13,26.97,0.77,1.75,666.0859272,1788.039318
429,14.16,1.50,2.86,35.57,0.73,1.73,1565.035799,2592.412729
430,14.18,1.42,3.49,49.23,0.69,2.06,2510.49685,3288.28635
431,17.96,1.66,2.71,56.94,1.52,2.35,4126.923581,5163.340868
432,11.54,0.58,4.35,70.31,0.07,2.49,627.8431141,1427.831363
433,15.41,1.64,3.33,78.08,0.96,2.51,506.6965083,2046.310764
434,17.13,1.79,3.04,26.11,0.90,1.73,1067.477332,2772.988706
435,19.18,1.69,3.47,33.43,0.98,2.04,2824.576169,4434.537082
436,15.19,1.16,3.22,54.43,0.41,1.75,2704.065349,3615.973482
437,9.97,0.92,3.05,50.79,0.06,1.44,1296.277576,1629.202452
438,17.20,1.47,3.21,4.50,1.93,2.21,9.854246707,2010.831552
439,14.71,1.31,2.23,53.86,1.76,2.18,2819.957257,3612.309671
440,13.80,1.10,3.70,47.23,0.47,1.95,2281.608168,3051.075402
441,13.67,1.30,3.09,80.77,1.19,2.20,277.31906,1561.480792
442,12.52,0.92,3.94,54.23,0.48,2.31,1848.658832,2500.339259
443,17.39,1.28,2.07,56.25,1.69,1.93,3891.443389,4887.005486
444,17.91,1.73,1.73,60.67,1.85,2.17,3618.604843,4781.944181
445,12.07,0.58,3.25,29.95,1.12,1.95,747.3455333,1612.218834
446,14.54,1.48,3.56,37.59,0.61,1.89,1855.574687,2875.900696
447,11.47,1.18,2.50,62.05,0.90,1.71,1235.473469,1860.248146
448,16.42,1.51,2.33,45.27,1.37,1.71,3463.458998,4396.126441
449,14.63,1.14,3.75,52.11,1.01,2.47,2694.78052,3506.812641
450,17.24,1.85,2.47,45.24,0.86,1.45,3789.443633,4785.642576
451,17.65,1.78,3.80,53.36,0.80,2.39,4095.363707,5083.897537
452,18.35,1.84,3.27,44.77,1.29,2.46,4528.883757,5530.33156
453,11.43,0.96,2.80,47.43,0.22,1.43,1596.210651,2116.751595
454,7.81,0.83,3.83,71.55,0.07,2.26,329.3373766,526.0453819
455,9.97,1.09,3.71,53.32,0.71,2.12,1332.917918,1656.233648
456,13.23,0.89,2.89,81.81,0.71,1.85,214.2968986,1433.737893
457,16.80,1.22,2.51,52.01,1.04,1.98,3692.108968,4633.211668
458,15.55,1.62,3.26,52.56,1.86,2.62,3291.478442,4110.586538
459,16.56,1.64,3.67,22.73,1.04,1.91,666.4281587,2374.890952
460,16.02,1.36,2.44,42.28,1.08,1.75,2930.268924,3933.5134
461,17.16,1.58,3.13,71.88,1.56,2.67,1379.264129,3006.859695
462,10.69,1.20,3.21,42.76,0.32,1.72,1311.675303,1773.165096
463,14.60,1.31,3.16,33.77,0.72,2.00,1460.053613,2596.029558
464,17.78,1.90,2.75,37.07,1.38,2.00,3056.975275,4347.789792
465,16.42,1.97,3.21,40.28,1.09,2.16,2915.120768,3994.496455
466,16.50,1.90,2.91,49.27,0.59,1.61,3519.609291,4451.451343
467,18.69,1.80,2.85,32.73,1.77,2.04,2646.535073,4214.589812
468,16.77,1.25,3.20,53.30,1.08,2.27,3632.530542,4584.330551
469,13.47,1.18,2.99,84.73,1.19,2.17,148.5223414,1430.426168
470,15.79,1.69,3.02,41.52,1.01,2.09,2769.151676,3773.430921
471,14.16,1.67,3.41,55.03,0.61,2.13,2369.538579,3181.697411
472,11.32,0.84,2.67,52.78,1.18,1.92,1671.342328,2150.437759
473,21.91,2.58,2.76,51.16,0.82,2.03,7887.843585,8639.1198
474,17.53,1.60,2.38,68.05,1.21,2.12,2009.943412,3535.14186
475,19.93,1.65,3.31,29.77,1.40,2.54,2377.710696,4244.83985
476,11.51,0.74,2.56,66.73,0.95,1.87,905.2237762,1624.980674
477,17.09,1.81,2.30,23.67,0.84,1.27,798.2021671,2567.235174
478,17.17,1.46,2.18,18.67,1.48,1.92,432.7746903,2314.685375
479,15.45,1.66,3.40,63.84,1.34,2.42,2052.027604,3185.090716
480,15.57,1.70,2.70,40.50,1.16,1.84,2599.553932,3608.244285
481,17.08,1.42,2.51,43.09,1.67,2.26,3661.146072,4662.161339
482,19.04,1.93,2.72,36.45,1.45,2.24,3542.725675,4932.968954
483,9.54,0.90,3.25,58.89,0.80,1.96,1074.157708,1387.577241
484,15.43,1.71,3.16,37.46,1.19,2.17,2192.585452,3284.088316
485,12.20,1.38,3.23,40.15,0.13,1.47,1456.153249,2153.876099
486,19.22,2.28,2.35,59.32,2.21,2.44,4841.552519,5918.098666
487,16.52,1.45,2.61,87.60,0.90,2.10,141.0821216,1983.504301
488,14.36,1.66,3.60,40.41,0.50,1.94,2077.182165,3004.440321
489,14.15,1.59,3.40,27.24,0.61,1.80,765.8549669,2006.313226
490,19.49,1.76,2.98,45.40,0.99,1.87,5274.464144,6283.339958
491,18.37,1.61,2.25,34.78,1.34,1.83,2835.461394,4292.790287
492,9.57,1.02,3.44,59.36,0.53,2.14,1041.339381,1369.443104
493,15.72,1.87,3.00,17.33,1.06,1.82,283.9539159,1940.289701
494,13.00,1.42,3.03,64.91,0.62,2.01,1271.336313,2165.249109
495,17.75,1.74,2.35,65.85,1.26,1.86,2479.831068,3919.876706
496,14.39,1.15,3.20,26.95,1.35,2.21,800.3606115,2075.439825
497,21.15,1.82,2.27,34.28,1.80,2.13,4236.373112,5828.175524
498,14.44,1.39,3.25,36.68,0.92,1.89,1767.765012,2793.098797
499,16.50,1.71,3.12,44.53,0.92,2.02,3353.632483,4330.528331
500,18.62,1.69,3.30,48.44,1.44,2.38,5008.841347,5929.474317
501,12.91,0.86,2.84,52.21,0.95,2.00,2079.698881,2740.943292
502,12.15,1.27,3.40,63.72,0.90,2.09,1236.646904,1984.731335
503,13.25,1.32,2.84,58.49,0.61,1.89,1851.618362,2636.873889
504,11.37,1.01,3.74,42.46,0.74,2.05,1467.172126,2011.532036
505,15.39,1.15,2.87,46.99,1.51,2.28,3080.665139,3927.308195
506,18.16,2.17,2.83,89.85,2.01,2.70,132.1736257,2276.11949
507,17.60,1.71,3.08,35.66,1.80,2.38,2794.926492,4122.261592
508,21.77,2.19,2.40,41.63,2.00,2.37,7112.902837,8046.7512
509,13.87,0.91,3.25,42.45,1.30,2.42,2175.143279,2987.258133
510,18.76,2.26,2.93,49.99,1.27,2.33,5162.742563,6067.744139
511,18.02,1.39,1.76,43.80,1.23,1.44,4141.686565,5186.465376
512,18.18,1.86,1.59,33.90,1.63,1.27,2666.798904,4135.620198
513,10.25,0.89,4.20,88.16,0.73,2.90,50.79013757,768.8209641
514,19.12,2.03,0.96,58.54,1.58,1.75,4675.107684,5777.284668
515,11.03,1.00,4.27,59.30,0.10,1.94,1246.518313,1787.098815
516,18.83,1.64,2.34,42.84,2.12,2.07,4845.699884,5850.014651
517,15.07,1.81,3.51,60.86,1.04,2.21,2260.664841,3268.997452
518,14.61,1.19,2.92,55.23,1.05,2.05,2561.510566,3405.67555
519,21.99,2.10,1.87,46.89,2.23,2.15,8549.25572,9139.572387
520,16.72,1.14,2.05,40.65,1.39,1.66,3085.916928,4174.502148
521,17.48,1.64,2.49,55.58,1.29,1.80,3941.711898,4940.006157
522,14.24,1.06,3.50,45.14,1.03,2.31,2436.755862,3245.470168
523,10.62,0.90,4.03,41.25,-0.13,1.87,1180.994604,1664.951975
524,16.00,1.44,3.14,54.15,0.62,1.90,3123.652135,4071.174935
525,13.00,1.06,3.33,67.52,0.84,2.18,1054.174367,2007.134728
526,19.18,1.75,2.44,55.40,1.22,2.07,5037.136541,6052.800652
527,12.82,0.94,3.57,64.33,1.34,2.68,1337.448657,2181.065669
528,17.39,1.84,3.07,51.15,1.04,1.87,4112.405619,5048.028851
529,15.73,1.49,3.28,46.89,0.92,2.03,3128.180606,4025.18011
530,16.95,1.90,2.52,17.40,1.23,1.58,346.6257813,2211.534854
531,18.30,1.59,2.20,43.96,1.37,1.75,4395.55534,5422.642128
532,12.94,0.91,2.21,19.34,1.35,1.47,253.7420032,1409.539132
533,16.72,1.57,3.07,38.34,1.44,2.19,2806.819355,3970.53147
534,17.96,1.78,3.53,67.18,0.85,2.27,2246.487315,3787.44382
535,14.03,1.44,3.47,45.51,0.46,1.99,2314.039136,3117.71779
536,15.05,1.22,2.06,46.99,1.15,1.45,2865.870114,3708.067412
537,11.39,1.06,2.56,36.09,0.95,1.74,1092.875286,1739.890751
538,13.30,1.50,3.79,64.39,1.26,2.79,1442.756493,2346.52352
539,18.81,1.99,3.48,38.79,1.67,2.30,3988.848523,5219.02748
540,12.59,0.57,3.22,66.84,0.90,2.08,1037.964085,1920.021898
541,9.78,0.84,3.52,51.95,1.01,2.34,1338.347252,1625.836438
542,14.82,1.69,3.11,43.10,1.13,2.09,2570.155907,3449.841042
543,15.60,1.36,1.87,45.59,1.81,1.85,3184.349011,4041.208495
544,16.50,2.16,3.33,43.94,0.90,2.01,3339.484831,4320.096708
545,14.73,1.15,3.62,61.13,1.30,2.52,2125.700732,3108.067948
546,15.75,1.33,3.25,66.65,1.60,2.59,1778.995715,3041.047068
547,16.89,1.74,2.46,55.46,1.52,1.96,3705.305968,4659.832916
548,13.87,1.39,3.43,47.39,1.37,2.40,2482.941131,3211.375263
549,15.22,1.54,3.58,45.55,1.45,2.56,2951.963887,3801.688571
550,18.56,1.75,2.72,57.59,1.54,2.14,4419.337027,5487.047047
551,16.60,1.40,2.09,22.24,1.05,1.27,625.8124584,2351.39007
552,18.56,1.88,3.06,21.90,1.32,2.12,819.5028793,2851.942632
553,13.93,1.02,2.92,45.72,0.64,1.78,2290.649233,3081.390547
554,12.20,1.27,3.72,29.12,0.77,1.98,700.0350386,1600.406528
555,8.23,0.46,3.38,72.33,0.23,2.00,323.6336509,599.1493997
556,17.83,1.77,2.55,41.57,0.92,1.58,3698.848265,4827.112279
557,17.42,1.88,2.15,45.70,0.69,1.33,3876.36811,4880.914279
558,17.97,1.61,2.31,45.26,1.73,1.91,4447.098564,5400.661727
559,16.35,1.59,2.90,45.79,1.86,2.13,3597.157043,4481.579504
560,16.03,1.65,2.57,45.43,0.94,1.61,3203.44198,4135.544162
561,18.41,1.64,3.00,69.27,0.61,2.08,1968.485996,3665.403235
562,14.60,1.58,2.07,47.50,0.92,1.38,2688.855093,3496.312091
563,20.86,1.94,2.70,50.54,1.98,2.35,7261.891374,7989.238954
564,18.56,1.45,2.63,56.40,1.71,2.32,4611.965461,5629.490786
565,11.49,0.86,3.17,68.32,0.39,1.96,766.1385455,1519.072361
566,14.46,1.69,3.72,54.51,1.09,2.38,2590.205569,3398.004397
567,18.36,2.02,2.44,83.69,0.84,1.98,351.0545567,2473.014697
568,13.73,1.68,3.24,42.16,1.15,2.11,2133.386277,2930.766122
569,14.42,1.13,2.61,72.39,1.04,2.02,840.7470461,2109.689864
570,13.51,0.77,2.79,82.46,1.04,2.31,206.6912072,1479.147126
571,18.07,1.77,2.27,58.85,1.56,2.04,3938.857172,5046.552868
572,14.29,1.45,3.00,62.35,0.78,1.87,1815.136335,2799.315937
573,10.84,1.24,3.67,45.37,0.17,1.97,1425.068417,1883.573872
574,13.37,1.01,3.19,58.63,0.47,1.78,1837.580744,2647.999011
575,13.29,1.26,2.36,70.88,1.13,1.87,838.8995631,1901.584638
576,12.90,1.42,2.52,56.38,0.59,1.60,1895.081285,2604.219197
577,15.02,1.85,3.30,43.92,1.05,1.86,2705.300514,3584.55176
578,14.99,1.36,2.03,67.80,1.92,2.14,1491.311387,2690.372925
579,14.06,1.13,1.97,61.96,1.87,1.97,1921.534509,2835.247888
580,9.90,0.99,3.19,61.65,0.68,1.80,988.1928083,1391.785941
581,11.29,1.22,3.49,41.69,0.56,1.84,1399.297759,1945.703688
582,16.25,1.97,2.89,39.06,1.15,1.94,2699.809785,3806.26163
583,18.56,1.81,1.88,44.93,1.21,1.61,4654.684703,5660.466313
584,15.63,1.31,3.09,56.59,0.98,2.17,2849.575547,3802.262372
585,12.97,1.23,3.28,54.14,0.74,2.05,2031.157399,2716.964827
586,16.21,1.43,1.90,39.67,0.99,1.30,2691.559109,3793.239111
587,10.26,0.78,3.53,57.02,0.27,1.88,1222.748909,1628.431578
588,14.28,1.59,2.58,47.86,1.31,1.91,2650.106862,3408.721127
589,10.97,0.97,3.55,43.24,0.63,1.85,1407.871685,1895.036038
590,12.59,1.21,2.62,46.11,0.67,1.59,1920.144325,2565.176828
591,10.48,0.75,3.22,72.90,0.33,2.10,427.7566142,1087.504132
592,9.57,1.32,3.34,89.45,-0.10,1.59,34.98786927,633.3325945
593,12.07,1.22,3.22,55.39,0.36,1.50,1690.176866,2302.002443
594,17.54,1.67,3.61,44.34,0.94,2.23,3871.397747,4899.478912
595,17.30,1.53,2.69,38.81,1.36,1.85,3105.082226,4295.076696
596,14.20,1.08,3.36,44.54,0.90,1.76,2368.956573,3189.503108
597,11.00,1.20,2.87,39.57,0.54,1.50,1223.284449,1764.608941
598,14.35,0.87,2.51,47.26,0.71,1.64,2496.394226,3309.34791
599,17.47,1.60,1.99,57.75,1.12,1.74,3634.902281,4713.35252
600,16.48,1.84,2.47,56.75,1.12,1.85,3287.275741,4279.010164
601,16.10,1.10,2.39,22.59,0.69,1.40,588.1879327,2232.526696
602,17.60,1.81,1.72,28.58,1.31,1.40,1519.871829,3190.156723
603,15.68,1.71,2.86,35.98,1.09,1.79,2063.446847,3236.939666
604,16.84,1.63,2.85,46.10,1.12,1.83,3682.683156,4633.024705
605,17.78,1.46,2.87,57.39,1.45,2.17,3923.901275,4982.971247
606,14.06,1.23,3.18,45.74,0.94,2.02,2401.595187,3187.788232
607,12.26,1.45,2.48,39.67,0.98,1.60,1531.698769,2221.871961
608,16.57,1.12,3.20,33.51,1.21,1.81,1955.302845,3319.270133
609,12.16,1.02,3.77,66.90,0.27,1.92,941.7766621,1771.55525
610,10.88,1.07,3.93,41.07,0.07,1.86,1238.479252,1753.557565
611,20.30,2.09,3.27,55.69,1.34,2.38,5976.74861,6945.851338
612,15.50,1.44,2.61,47.46,1.30,2.07,3124.19827,3978.938289
613,11.38,1.49,4.13,80.25,0.40,2.24,204.4360296,1088.45793
614,16.89,1.74,2.63,56.17,2.07,2.55,3781.929486,4715.767666
615,17.62,1.40,3.06,32.59,1.38,1.98,2158.684907,3661.079717
616,17.83,1.39,3.01,55.10,1.15,2.13,4123.613626,5138.568321
617,17.66,1.85,2.46,59.14,0.98,1.84,3529.91632,4671.813558
618,21.09,2.54,2.22,26.51,1.53,1.52,2095.303996,4249.492016
619,18.94,1.74,3.30,55.69,1.49,2.57,4926.049233,5928.543147
620,21.28,2.54,2.32,52.59,1.85,2.14,7658.969424,8357.244038
621,17.14,1.41,2.90,71.60,0.91,2.16,1342.59323,2975.80644
622,13.35,1.16,2.94,72.10,0.93,2.39,738.8770402,1840.363296
623,19.32,1.84,2.55,56.11,1.38,2.01,5115.691999,6137.061735
624,10.04,1.13,2.70,39.60,0.76,1.60,1083.272676,1485.753881
625,15.47,1.65,3.22,47.90,1.04,2.13,3089.846341,3949.393743
626,13.10,1.05,3.82,58.09,0.99,2.59,1875.160441,2625.618619
627,20.51,2.02,2.96,46.94,0.99,1.88,6319.437653,7235.410026
628,16.05,1.53,4.16,45.34,0.69,2.42,3137.098361,4090.091482
629,17.06,1.63,2.50,52.98,1.34,2.00,3918.258317,4846.694597
630,14.00,1.70,2.54,71.48,1.00,1.98,879.1455867,2060.920562
631,14.78,1.42,2.75,28.33,1.22,1.80,972.9470623,2273.365329
632,14.07,1.55,3.44,34.50,0.43,1.70,1409.196533,2462.997765
633,12.57,0.95,3.08,49.94,1.41,2.28,2073.270839,2673.242823
634,17.69,1.79,2.38,71.46,1.08,1.91,1505.819671,3195.341555
635,8.75,0.73,3.96,66.77,0.03,2.12,569.2381477,874.0541857
636,18.39,1.79,3.08,30.24,1.41,1.72,2000.283352,3685.847763
637,11.44,1.06,3.30,66.54,0.37,1.88,879.5860991,1592.866748
638,18.14,1.86,2.80,65.18,0.91,2.15,2689.942752,4144.62414
639,18.64,1.89,2.04,56.08,1.88,2.09,4827.214872,5801.700844
640,12.35,1.18,3.00,58.71,1.00,1.80,1653.324326,2326.50925
641,15.06,1.45,3.42,78.96,0.77,2.36,421.8353668,1921.430224
642,14.36,1.50,3.35,46.35,0.91,1.98,2545.07261,3346.189437
643,17.64,1.52,2.76,47.39,0.88,1.67,4128.84312,5107.453153
644,21.35,1.70,1.80,9.46,2.03,1.91,181.6980445,2896.817855
645,15.17,1.58,3.13,56.96,0.88,1.84,2640.717902,3565.535949
646,12.62,0.94,2.82,50.28,1.01,2.02,2032.711824,2654.496332
647,18.86,1.50,2.18,18.02,1.56,1.81,504.957481,2676.307192
648,17.63,1.64,2.64,65.55,1.72,2.34,2565.437471,3960.867905
649,13.45,1.25,2.65,28.20,1.41,2.05,801.5371357,1904.815809
650,14.02,1.16,3.43,77.02,0.63,2.32,457.8305006,1757.331295
651,13.88,1.17,3.36,42.04,0.83,2.14,2088.825692,2924.66399
652,8.63,0.75,3.71,54.15,0.41,2.06,1052.605777,1206.777782
653,11.67,1.28,3.15,56.77,0.86,2.14,1595.569014,2160.368428
654,15.05,1.41,2.84,46.75,1.08,1.81,2855.548494,3700.233058
655,11.20,0.85,3.95,52.40,-0.13,1.64,1503.487194,2005.407091
656,13.55,1.11,4.17,45.58,0.19,2.14,2101.721419,2874.29477
657,9.90,1.09,3.74,89.51,0.19,2.31,36.81330718,694.7171134
658,17.08,2.09,3.62,44.51,0.77,2.24,3642.765883,4649.28574
659,19.09,1.92,2.45,49.60,1.67,2.07,5515.466392,6386.93995
660,21.74,2.43,2.50,19.05,2.06,2.18,941.1416443,3524.052122
661,14.88,1.33,3.05,81.48,0.41,1.79,282.0995965,1784.918043
662,19.02,2.07,3.08,30.56,1.33,2.12,2257.286932,3989.238695
663,7.98,0.42,4.11,50.13,0.47,2.19,991.4798652,1041.362825
664,18.78,1.79,2.89,51.55,1.60,2.45,5199.93081,6098.755355
665,17.35,1.34,1.48,51.45,1.10,1.42,4043.841349,4991.335985
666,16.76,1.55,2.16,23.75,1.42,1.48,795.3386937,2505.22599
667,18.65,2.02,2.92,65.65,1.11,2.03,2849.638856,4354.355561
668,16.63,1.41,2.83,39.39,1.55,2.32,2934.577446,4048.166421
669,9.98,0.93,4.11,66.51,0.17,2.50,703.2805988,1196.963456
670,15.44,1.73,2.61,65.58,1.16,2.02,1804.383919,3002.869455
671,8.81,0.57,3.40,52.81,0.71,2.21,1121.053597,1288.885583
672,16.80,1.77,3.24,71.10,1.17,2.31,1381.933964,2942.49284
673,16.78,1.50,2.19,59.16,0.82,1.37,3045.528652,4156.411722
674,15.64,1.36,3.53,30.61,0.86,2.17,1325.003212,2687.883864
675,17.51,1.61,3.08,37.76,1.37,2.11,3030.655711,4278.246308
676,18.61,1.93,2.74,29.42,1.67,2.03,1955.331461,3692.779527
677,15.78,1.09,2.34,41.26,0.89,1.53,2667.57756,3697.027078
678,15.69,1.39,3.04,54.42,0.43,1.66,2926.914549,3870.603716
679,14.84,1.46,3.18,20.53,1.55,2.24,404.4793749,1868.790677
680,13.76,1.27,3.34,77.22,0.14,2.11,417.038603,1679.558243
681,11.31,0.99,3.52,39.01,0.26,1.74,1214.260306,1815.461843
682,11.30,1.01,3.31,62.95,0.32,1.87,1093.176293,1724.727106
683,16.50,1.65,3.62,46.19,0.63,2.04,3398.913258,4364.525035
684,15.80,1.62,2.40,58.30,1.15,2.01,2813.268159,3806.73477
685,10.27,0.83,3.83,82.07,0.75,2.62,135.439622,834.8906453
686,18.44,2.07,3.03,55.30,1.10,2.04,4548.340898,5560.985647
687,10.63,0.90,2.66,41.15,1.10,2.00,1283.986441,1741.152445
688,16.54,1.53,2.59,33.36,0.55,1.35,1856.934036,3241.616668
689,16.46,1.39,3.33,47.48,1.46,2.40,3623.788155,4521.757242
690,17.86,1.80,2.78,45.33,1.30,1.91,4272.150645,5251.697102
691,16.93,1.79,3.46,35.32,1.60,2.47,2454.972196,3751.008083
692,11.21,0.75,4.49,54.10,0.10,2.25,1489.925185,1998.758498
693,15.33,1.27,3.35,37.27,1.12,2.04,2102.009351,3200.644714
694,16.40,1.48,2.91,27.17,1.07,1.87,1080.264714,2648.784809
695,9.24,1.28,4.52,20.91,0.86,2.58,180.9656452,679.6722677
696,22.50,2.56,2.62,33.25,1.50,1.91,4756.782918,6455.579234
697,20.42,2.02,1.52,38.21,1.86,1.67,4934.098069,6204.044188
698,12.83,1.28,3.16,64.39,0.40,1.95,1259.609626,2125.376305
699,10.54,0.97,3.23,54.86,0.33,1.69,1363.540281,1783.489508
700,15.33,1.12,2.56,38.38,1.10,1.73,2222.537458,3288.706702
701,15.51,1.11,3.09,66.09,1.50,2.50,1768.565608,2989.861123
702,13.48,1.03,2.48,26.23,1.10,1.47,637.1935933,1790.301628
703,13.41,1.13,4.12,46.12,0.62,2.50,2146.502216,2881.051124
704,14.87,1.39,3.70,67.69,0.91,2.62,1376.714964,2584.332677
705,19.73,1.85,2.50,41.01,1.62,1.93,5001.827865,6129.011085
706,9.85,0.67,2.32,46.08,1.06,1.87,1314.320565,1620.913205
707,16.99,1.96,2.86,21.86,0.88,1.63,633.2486035,2428.541378
708,14.06,1.06,2.53,3.03,0.41,1.03,15.47356176,1439.596396
709,15.69,1.63,3.21,45.22,1.46,2.50,3147.193012,4031.34545
710,17.12,1.49,2.36,45.12,1.55,2.13,3864.080623,4818.493177
711,16.79,1.57,2.82,20.46,1.18,1.83,517.0209308,2307.896506
712,24.65,2.34,1.33,46.77,2.23,1.78,12568.64413,12568.64413
713,20.15,1.94,3.05,44.65,1.31,2.39,5861.461184,6833.752731
714,16.16,1.77,3.23,41.04,1.13,2.21,2895.97414,3933.33103
715,10.96,1.19,3.03,63.11,0.35,1.81,1038.323291,1621.11947
716,14.21,1.33,2.84,85.70,0.86,2.27,138.4467572,1557.8531
717,16.48,1.52,2.87,60.62,1.76,2.26,2922.820756,4011.70096
718,13.38,0.96,2.52,35.86,1.24,1.72,1457.243162,2370.958907
719,19.64,1.90,2.36,38.95,2.56,2.57,4806.867083,5968.998969
720,21.91,1.98,1.83,56.00,1.71,1.76,7632.834153,8452.290323
721,14.78,1.28,2.77,21.90,1.04,1.71,460.1922336,1897.111026
722,18.31,1.74,1.51,25.29,1.87,1.52,1233.958231,3110.553745
723,12.98,0.99,2.27,41.88,0.48,1.39,1773.40786,2529.961182
724,12.38,0.74,2.72,42.53,0.37,1.42,1640.81971,2322.735762
725,10.40,1.13,4.13,61.84,-0.13,1.90,995.3459424,1488.518023
726,12.06,1.59,4.47,57.01,0.14,2.25,1604.738573,2238.430563
727,5.79,0.76,4.06,56.46,-0.20,1.90,635.2274416,380.9220612
728,11.42,0.66,3.62,43.47,0.58,2.22,1492.041377,2037.969126
729,14.44,1.34,2.71,47.05,0.45,1.57,2508.197103,3334.664313
730,16.93,1.38,3.09,66.21,1.40,2.37,2146.206216,3525.506502
731,16.41,1.54,3.45,66.10,0.92,2.32,1949.353997,3285.595794
732,10.66,0.58,3.59,62.84,0.50,2.03,1004.284169,1541.707255
733,12.78,1.40,3.20,66.97,0.39,1.80,1043.151258,1958.981006
734,17.89,1.79,1.92,40.03,1.93,1.88,3757.18768,4880.045637
